Päivä		aika(min)	mitä
20130104	180			pelilaudan koodausta, netbeansiin totuttelua...
20130110	10			git repon luonti
20130111	20			ensimmäiset tiedostit gitiin netbeansistä
20130113	60			javadoc testi ja vähän junit testejä
20130122	90			testejä, automatisoitu random pelaaja testaamista varten
20130128	30			refaktorointia
20130205	120			refaktorointia
20130212	120			Gui juttuja swingillä
20130212	30			lisää koodia käyttöliittymään, testejä, pisteiden tallennus ja laskeminen
20130220	60			käyttöliittymän hiominen, refaktorointia
20130221	60			käyttöliittymän hiominen, refaktorointia

